,customer_id,last_purchase,frequency,monetary,avg_order_value,recency,churn,Segment
91,C1117,2024-11-02,9,-144.38516368361564,-16.04279596484618,393,1,New Customer
92,C1118,2024-06-27,8,421.03283108528217,52.62910388566027,521,1,Occassional Buyer Customer
93,C1119,2025-07-06,8,-1189.7398088377022,-148.71747610471277,147,0,New Customer
94,C112,2025-04-08,1,82.14231832516782,82.14231832516782,236,0,Occassional Buyer Customer
95,C1120,2023-05-10,1,-481.1201447825906,-481.1201447825906,935,1,At-Risk Customer
96,C1123,2023-04-03,1,40.10661985458611,40.10661985458611,972,1,At-Risk Customer
97,C1125,2025-03-25,18,-2601.1674075078226,-144.50930041710126,250,0,New Customer
98,C1126,2025-03-29,1,-132.4756348210168,-132.4756348210168,246,0,New Customer
99,C1127,2025-04-07,18,1014.2739526820316,56.34855292677953,237,0,New Customer
100,C1128,2023-11-18,1,243.57841771207976,243.57841771207976,743,1,Occassional Buyer Customer
101,C1129,2023-04-04,1,-33.81715493687422,-33.81715493687422,971,1,At-Risk Customer
102,C1130,2025-08-09,108,5261.162647759571,48.71446896073677,113,0,Loyal High-Value Customer
103,C1131,2023-04-27,1,23.73839168613852,23.73839168613852,948,1,At-Risk Customer
104,C1132,2025-07-02,4,-432.1428667158957,-108.03571667897393,151,0,New Customer
105,C1133,2024-08-11,4,583.8352539776466,145.95881349441166,476,1,Occassional Buyer Customer
106,C1134,2024-07-24,1,-292.38032390076586,-292.38032390076586,494,1,New Customer
107,C1136,2025-01-25,8,792.9712154301308,99.12140192876635,309,0,Occassional Buyer Customer
108,C1137,2023-05-06,1,-66.00325970696213,-66.00325970696213,939,1,At-Risk Customer
109,C1138,2025-04-23,4,833.0165544696246,208.25413861740614,221,0,Occassional Buyer Customer
110,C1139,2025-04-07,48,4247.797227694076,88.49577557695993,237,0,Loyal High-Value Customer
111,C1141,2024-10-08,1,-453.4478887500102,-453.4478887500102,418,1,New Customer
112,C1142,2025-06-05,18,3020.6107902353665,167.81171056863147,178,0,Loyal High-Value Customer
113,C1143,2023-11-22,1,-165.75725708027625,-165.75725708027625,739,1,At-Risk Customer
114,C1144,2024-10-04,1,22.24660512168883,22.24660512168883,422,1,New Customer
115,C1145,2024-09-25,1,-351.49424164668466,-351.49424164668466,431,1,New Customer
116,C1146,2023-07-07,1,-191.8214738533596,-191.8214738533596,877,1,At-Risk Customer
117,C1147,2025-06-06,1,-216.59639827256137,-216.59639827256137,177,0,New Customer
118,C1149,2024-08-19,1,-175.36991088308744,-175.36991088308744,468,1,New Customer
119,C115,2023-08-24,1,-99.97863052834934,-99.97863052834934,829,1,At-Risk Customer
120,C1150,2024-11-28,8,224.2910624525931,28.03638280657414,367,1,New Customer
121,C1152,2024-09-11,1,364.9242623724916,364.9242623724916,445,1,Occassional Buyer Customer
122,C1153,2025-09-06,18,300.86759699687826,16.71486649982657,85,0,New Customer
123,C1155,2023-07-27,1,5.039565314189062,5.039565314189062,857,1,At-Risk Customer
124,C1156,2024-06-21,8,-1657.254317849924,-207.1567897312405,527,1,New Customer
125,C1157,2024-01-30,1,116.31302790028384,116.31302790028384,670,1,Occassional Buyer Customer
126,C1159,2025-04-04,9,-313.2026093961931,-34.800289932910346,240,0,New Customer
127,C116,2023-09-17,1,-297.63379114890364,-297.63379114890364,805,1,At-Risk Customer
128,C1160,2024-08-18,27,-2558.6872456147626,-94.76619428202824,469,1,New Customer
129,C1161,2025-04-21,8,-386.4062405723323,-48.30078007154154,223,0,New Customer
130,C1162,2024-11-28,32,-991.0564241734328,-30.970513255419775,367,1,New Customer
131,C1163,2025-01-30,8,69.69347243679414,8.711684054599267,304,0,New Customer
132,C1164,2024-11-21,1,-154.19326110649212,-154.19326110649212,374,1,New Customer
133,C1165,2025-09-08,75,-5347.164292924611,-71.29552390566148,83,0,Discount Seeker Customer
134,C1168,2025-07-20,1,573.7878273990996,573.7878273990996,133,0,Occassional Buyer Customer
135,C1169,2023-12-01,1,135.48342087138573,135.48342087138573,730,1,Occassional Buyer Customer
136,C117,2024-02-15,1,56.85898567874391,56.85898567874391,654,1,Occassional Buyer Customer
137,C1170,2023-08-06,1,616.7154811184748,616.7154811184748,847,1,Occassional Buyer Customer
138,C1171,2024-10-09,1,-349.0566571824927,-349.0566571824927,417,1,New Customer
139,C1173,2024-03-04,1,5.663443289892048,5.663443289892048,636,1,At-Risk Customer
140,C1174,2024-09-15,8,2271.437309022798,283.9296636278498,441,1,Occassional Buyer Customer
141,C1175,2025-07-20,4,-486.17498543617387,-121.54374635904347,133,0,New Customer
142,C1177,2025-01-25,8,297.9805147661964,37.24756434577455,309,0,New Customer
143,C1178,2023-07-27,1,211.90300650577183,211.90300650577183,857,1,Occassional Buyer Customer
144,C1179,2024-12-29,1,-47.04424022155812,-47.04424022155812,336,0,New Customer
145,C118,2024-06-25,1,83.13428396364345,83.13428396364345,523,1,Occassional Buyer Customer
146,C1180,2025-07-31,8,1508.0911868363335,188.51139835454168,122,0,Occassional Buyer Customer
147,C1181,2023-04-27,1,-160.0555418974127,-160.0555418974127,948,1,At-Risk Customer
148,C1182,2024-09-24,9,-172.40483546291682,-19.15609282921298,432,1,New Customer
149,C1183,2024-05-28,1,-190.9133766962741,-190.9133766962741,551,1,At-Risk Customer
150,C1184,2024-07-15,1,-144.5526826972928,-144.5526826972928,503,1,New Customer
151,C1185,2024-07-04,8,-474.3620852766678,-59.29526065958348,514,1,New Customer
152,C1186,2024-09-09,8,333.54982753119896,41.69372844139987,447,1,Occassional Buyer Customer
153,C1187,2025-05-05,18,-807.3138333729765,-44.85076852072092,209,0,New Customer
154,C1188,2025-07-19,48,1323.7539252395213,27.57820677582336,134,0,Loyal High-Value Customer
155,C1189,2024-07-11,1,454.3619651916172,454.3619651916172,507,1,Occassional Buyer Customer
156,C119,2024-04-17,1,-127.95712883035796,-127.95712883035796,592,1,At-Risk Customer
157,C1190,2025-10-12,50,5485.100168876341,109.70200337752682,49,0,Loyal High-Value Customer
158,C1192,2025-04-30,18,509.46991741656313,28.303884300920174,214,0,New Customer
159,C1193,2022-12-01,1,461.62948467903504,461.62948467903504,1095,1,Occassional Buyer Customer
160,C1194,2025-06-01,27,1384.194243499548,51.266453462946224,182,0,Loyal High-Value Customer
161,C1195,2024-01-03,1,536.4957069156156,536.4957069156156,697,1,Occassional Buyer Customer
162,C1196,2023-04-06,1,310.91872838363554,310.91872838363554,969,1,Occassional Buyer Customer
163,C1197,2024-10-26,8,931.5127970557155,116.43909963196444,400,1,Occassional Buyer Customer
164,C1198,2023-12-08,1,120.63417891500455,120.63417891500455,723,1,Occassional Buyer Customer
165,C1199,2024-10-28,4,-1231.471073306575,-307.8677683266437,398,1,New Customer
166,C12,2025-05-06,18,-586.7760025140478,-32.59866680633599,208,0,New Customer
167,C1202,2024-01-10,1,-184.90815891199807,-184.90815891199807,690,1,At-Risk Customer
168,C1203,2023-02-05,1,115.36760570155676,115.36760570155676,1029,1,At-Risk Customer
169,C1204,2025-03-25,32,-698.8897348800783,-21.840304215002448,250,0,New Customer
170,C1205,2024-12-14,8,-26.3410187367856,-3.2926273420982,351,0,New Customer
171,C1208,2024-11-21,18,-262.58490774251027,-14.58805043013946,374,1,New Customer
172,C121,2025-04-11,8,269.2542793081982,33.656784913524774,233,0,New Customer
173,C1210,2024-07-26,18,1289.2506004470397,71.62503335816888,492,1,Occassional Buyer Customer
174,C1212,2024-10-08,27,-2099.1743698423284,-77.7471988830492,418,1,New Customer
175,C1213,2024-10-21,27,2046.1631984387855,75.78382216439947,405,1,Loyal High-Value Customer
176,C1215,2024-05-01,8,765.9635191282209,95.74543989102762,578,1,Occassional Buyer Customer
177,C1216,2025-01-03,8,-131.9660106687533,-16.495751333594164,331,0,New Customer
178,C1217,2025-08-25,18,-4574.597453080202,-254.14430294890013,97,0,Discount Seeker Customer
179,C1218,2024-01-28,1,-460.8360196736167,-460.8360196736167,672,1,At-Risk Customer
180,C1219,2024-05-24,4,-131.89146833144304,-32.97286708286076,555,1,New Customer
181,C122,2023-09-14,1,190.6891952289296,190.6891952289296,808,1,Occassional Buyer Customer
182,C1220,2022-04-27,1,-474.46774155466704,-474.46774155466704,1313,1,At-Risk Customer
183,C1221,2023-06-27,1,-115.81722065651792,-115.81722065651792,887,1,At-Risk Customer
184,C1222,2024-07-09,8,1198.6447500540799,149.83059375675998,509,1,Occassional Buyer Customer
185,C1223,2024-06-30,1,6.717884011132921,6.717884011132921,518,1,New Customer
186,C1224,2024-02-03,8,1127.3682005767969,140.9210250720996,666,1,Occassional Buyer Customer
187,C1225,2024-08-26,8,-61.55504073072268,-7.694380091340335,461,1,New Customer
188,C1229,2023-06-12,1,-107.66586783809596,-107.66586783809596,902,1,At-Risk Customer
189,C123,2025-08-11,4,19.57542545220327,4.893856363050817,111,0,New Customer
190,C1231,2025-09-07,8,-538.9001156962755,-67.36251446203444,84,0,New Customer
191,C1232,2024-11-18,27,-798.4788178214332,-29.57328954894197,377,1,New Customer
192,C1233,2023-11-14,8,1918.395811741308,239.7994764676635,747,1,Occassional Buyer Customer
193,C1234,2025-06-19,8,-1407.530632687474,-175.94132908593426,164,0,New Customer
194,C1235,2022-10-30,1,-268.1113733115097,-268.1113733115097,1127,1,At-Risk Customer
195,C1236,2023-06-14,1,165.02080584417774,165.02080584417774,900,1,Occassional Buyer Customer
196,C1238,2024-12-22,8,-45.567918738433036,-5.6959898423041295,343,0,New Customer
197,C1239,2025-06-13,1,398.0320521798046,398.0320521798046,170,0,Occassional Buyer Customer
198,C1240,2023-10-11,1,35.8513669772212,35.8513669772212,781,1,At-Risk Customer
199,C1241,2025-04-04,8,-983.7654358497982,-122.97067948122478,240,0,New Customer
200,C1242,2024-10-27,8,187.3177740540865,23.414721756760812,399,1,New Customer
201,C1243,2025-06-28,18,-2220.4508696545363,-123.35838164747423,155,0,New Customer
202,C1244,2024-02-29,1,-297.6724907700344,-297.6724907700344,640,1,At-Risk Customer
203,C1245,2025-04-13,32,2228.009031682157,69.6252822400674,231,0,Loyal High-Value Customer
204,C1246,2025-07-24,18,-949.4674037745549,-52.74818909858638,129,0,New Customer
205,C1249,2024-03-05,1,-76.66090463180572,-76.66090463180572,635,1,At-Risk Customer
206,C125,2023-12-21,8,2026.3040292279138,253.28800365348923,710,1,Occassional Buyer Customer
207,C1250,2024-08-14,8,2913.049632571026,364.13120407137825,473,1,Occassional Buyer Customer
208,C1251,2023-01-24,1,-203.1514523993849,-203.1514523993849,1041,1,At-Risk Customer
209,C1252,2025-03-19,8,-2033.9953060167747,-254.24941325209684,256,0,New Customer
210,C1253,2024-07-08,1,152.25664467195085,152.25664467195085,510,1,Occassional Buyer Customer
211,C1254,2024-01-29,1,-151.37134875676674,-151.37134875676674,671,1,At-Risk Customer
212,C1256,2023-09-03,1,-13.875610316857951,-13.875610316857951,819,1,At-Risk Customer
213,C1258,2024-01-25,8,67.01422074636673,8.376777593295841,675,1,At-Risk Customer
214,C1259,2023-03-27,1,51.14637348160503,51.14637348160503,979,1,At-Risk Customer
215,C1260,2023-12-25,8,-775.1135020820511,-96.88918776025639,706,1,At-Risk Customer
216,C1261,2024-01-20,8,-1266.962447468375,-158.3703059335469,680,1,At-Risk Customer
217,C1263,2024-07-17,1,-184.28771115724592,-184.28771115724592,501,1,New Customer
218,C1264,2024-09-10,1,-125.4995710450403,-125.4995710450403,446,1,New Customer
219,C1265,2025-07-15,8,778.7396397644186,97.34245497055232,138,0,Occassional Buyer Customer
220,C1266,2025-06-27,8,-223.16670783497798,-27.895838479372248,156,0,New Customer
221,C1269,2024-02-01,1,38.15208812449538,38.15208812449538,668,1,Occassional Buyer Customer
222,C127,2023-05-23,1,-159.79611366350775,-159.79611366350775,922,1,At-Risk Customer
223,C1270,2025-03-15,18,651.3216441825996,36.1845357879222,260,0,New Customer
224,C1271,2023-11-28,1,316.803430198018,316.803430198018,733,1,Occassional Buyer Customer
225,C1273,2024-07-10,1,65.145938108003,65.145938108003,508,1,Occassional Buyer Customer
226,C1274,2025-01-16,8,721.4761320600746,90.18451650750933,318,0,Occassional Buyer Customer
227,C1276,2024-11-14,1,-256.1444658535691,-256.1444658535691,381,1,New Customer
228,C1279,2024-10-04,32,1665.184016170349,52.037000505323405,422,1,Loyal High-Value Customer
229,C1280,2024-07-23,8,-669.333295324995,-83.66666191562437,495,1,New Customer
230,C1281,2025-06-15,8,2358.565410832521,294.82067635406514,168,0,Occassional Buyer Customer
231,C1282,2025-01-02,8,972.2638330420407,121.53297913025509,332,0,Occassional Buyer Customer
232,C1283,2025-01-06,1,-273.5989970521535,-273.5989970521535,328,0,New Customer
233,C1284,2025-07-04,32,136.09766640530933,4.253052075165916,149,0,New Customer
234,C1285,2025-09-04,32,4429.3919245175,138.41849764117188,87,0,Loyal High-Value Customer
235,C1286,2025-01-18,1,108.1385630107502,108.1385630107502,316,0,Occassional Buyer Customer
236,C1287,2025-06-10,1,49.39731738151605,49.39731738151605,173,0,New Customer
237,C1288,2025-05-19,4,83.49101135666137,20.872752839165344,195,0,New Customer
238,C129,2024-08-10,8,-859.5281917018742,-107.44102396273428,477,1,New Customer
239,C1290,2024-08-29,8,1942.700581395673,242.83757267445912,458,1,Occassional Buyer Customer
240,C1292,2024-11-23,8,1805.4537567968837,225.68171959961046,372,1,Occassional Buyer Customer
241,C1293,2025-05-24,18,-388.5373016831213,-21.585405649062295,190,0,New Customer
242,C1294,2025-05-24,4,200.2551041537833,50.06377603844582,190,0,New Customer
243,C1295,2024-01-11,1,-155.68339509752286,-155.68339509752286,689,1,At-Risk Customer
244,C1296,2025-05-23,27,1544.3803407549128,57.19927187981158,191,0,Loyal High-Value Customer
245,C1297,2024-08-24,18,739.9952438597645,41.11084688109803,463,1,Occassional Buyer Customer
246,C1299,2025-04-02,8,32.34866738275744,4.04358342284468,242,0,New Customer
247,C13,2025-05-26,27,5488.637392225308,203.2828663787151,188,0,Loyal High-Value Customer
248,C130,2024-09-19,8,-346.24288572039205,-43.28036071504901,437,1,New Customer
249,C1300,2025-03-18,48,-3625.68923698877,-75.53519243726605,257,0,Discount Seeker Customer
250,C1301,2024-05-05,1,82.71527128967382,82.71527128967382,574,1,Occassional Buyer Customer
251,C1302,2025-05-18,32,2318.6417721932944,72.45755538104045,196,0,Loyal High-Value Customer
252,C1303,2022-11-22,1,-203.6943256684457,-203.6943256684457,1104,1,At-Risk Customer
253,C1305,2024-11-25,8,1271.8657818393053,158.98322272991317,370,1,Occassional Buyer Customer
254,C1306,2024-05-21,1,-231.0593604579716,-231.0593604579716,558,1,At-Risk Customer
255,C1307,2025-06-04,1,13.196253958153214,13.196253958153214,179,0,New Customer
256,C1308,2024-06-09,1,349.87168948025044,349.87168948025044,539,1,Occassional Buyer Customer
257,C1309,2025-11-01,48,3680.856447686136,76.6845093267945,29,0,Loyal High-Value Customer
258,C1310,2023-05-16,1,43.97842686254026,43.97842686254026,929,1,At-Risk Customer
259,C1312,2025-11-10,18,-1855.3208215131738,-103.0733789729541,20,0,New Customer
260,C1313,2025-08-09,8,-1120.8088598439624,-140.1011074804953,113,0,New Customer
261,C1314,2025-07-18,8,-1038.1386936550284,-129.76733670687855,135,0,New Customer
262,C1315,2022-06-09,1,-396.6725841247928,-396.6725841247928,1270,1,At-Risk Customer
263,C1317,2024-12-06,9,-30.844043759738547,-3.427115973304283,359,0,New Customer
264,C1318,2022-07-17,1,0.8640943127247274,0.8640943127247274,1232,1,At-Risk Customer
265,C1319,2023-10-30,1,288.981292833031,288.981292833031,762,1,Occassional Buyer Customer
266,C132,2023-09-13,1,207.4148872483112,207.4148872483112,809,1,Occassional Buyer Customer
267,C1322,2024-02-01,1,-142.26415117527498,-142.26415117527498,668,1,At-Risk Customer
268,C1323,2023-04-02,1,237.28736923547936,237.28736923547936,973,1,Occassional Buyer Customer
269,C1326,2025-02-12,4,-1003.3175454043841,-250.82938635109602,291,0,New Customer
270,C133,2025-08-25,4,262.01398606860545,65.50349651715136,97,0,New Customer
271,C1330,2024-06-16,9,-149.7768921904189,-16.641876910046545,532,1,New Customer
272,C1331,2023-10-15,4,-116.54493171583557,-29.136232928958893,777,1,At-Risk Customer
273,C1332,2022-12-25,1,367.4359444717864,367.4359444717864,1071,1,Occassional Buyer Customer
274,C1333,2024-10-23,8,1231.0570335077477,153.88212918846847,403,1,Occassional Buyer Customer
275,C1335,2025-06-09,8,-1119.4290653263374,-139.92863316579218,174,0,New Customer
276,C1336,2023-12-14,1,-57.68696976152857,-57.68696976152857,717,1,At-Risk Customer
277,C1337,2023-03-12,1,-56.29962833298031,-56.29962833298031,994,1,At-Risk Customer
278,C134,2025-02-13,4,-323.0103012515547,-80.75257531288868,290,0,New Customer
279,C1340,2024-02-13,1,-27.37338580738952,-27.37338580738952,656,1,At-Risk Customer
280,C1341,2024-11-28,4,-186.83838557163836,-46.70959639290959,367,1,New Customer
281,C1342,2025-08-13,4,-186.35411638217963,-46.58852909554491,109,0,New Customer
282,C1343,2023-05-30,1,-156.4844050612825,-156.4844050612825,915,1,At-Risk Customer
283,C1345,2023-09-20,1,-54.69245216782973,-54.69245216782973,802,1,At-Risk Customer
284,C1346,2024-08-07,18,-844.547811661477,-46.919322870082055,480,1,New Customer
285,C1349,2025-01-24,1,-141.1214165264463,-141.1214165264463,310,0,New Customer
286,C135,2023-10-03,1,244.2550431889053,244.2550431889053,789,1,Occassional Buyer Customer
287,C1350,2024-01-22,1,-36.30029879486092,-36.30029879486092,678,1,At-Risk Customer
288,C1352,2022-12-07,1,-497.3670581535145,-497.3670581535145,1089,1,At-Risk Customer
289,C1353,2022-04-06,1,-166.6069961830164,-166.6069961830164,1334,1,At-Risk Customer
290,C1354,2023-12-10,9,818.8794600267853,90.98660666964281,721,1,Occassional Buyer Customer
291,C1355,2024-07-21,4,29.157834868490674,7.289458717122669,497,1,New Customer
292,C1357,2025-04-18,8,-290.43303959569903,-36.30412994946238,226,0,New Customer
293,C1358,2025-06-27,75,-3616.265817963489,-48.21687757284652,156,0,Discount Seeker Customer
294,C1360,2025-01-08,75,-1201.3039233470213,-16.017385644626952,326,0,Discount Seeker Customer
295,C1361,2024-07-01,48,3914.6990936676757,81.55623111807658,517,1,Loyal High-Value Customer
296,C1362,2024-07-21,18,-3245.1774442734345,-180.2876357929686,497,1,New Customer
297,C1363,2024-12-21,18,-559.0247281268804,-31.056929340382244,344,0,New Customer
298,C1364,2025-02-25,8,1090.3481773955577,136.29352217444472,278,0,Occassional Buyer Customer
299,C1365,2022-10-11,1,210.2885131624515,210.2885131624515,1146,1,Occassional Buyer Customer
300,C1367,2024-06-06,1,122.3741803848009,122.3741803848009,542,1,Occassional Buyer Customer
301,C1368,2023-12-22,1,3.864501354772197,3.864501354772197,709,1,At-Risk Customer
302,C137,2024-07-14,4,893.1549258722074,223.28873146805185,504,1,Occassional Buyer Customer
303,C1370,2025-02-25,1,97.09827774680058,97.09827774680058,278,0,Occassional Buyer Customer
304,C1371,2023-04-03,1,214.2438516133157,214.2438516133157,972,1,Occassional Buyer Customer
305,C1372,2025-09-18,4,-465.28003160887874,-116.32000790221969,73,0,New Customer
306,C1375,2022-09-26,1,51.22709090323971,51.22709090323971,1161,1,At-Risk Customer
307,C1376,2024-04-06,1,149.97310406583907,149.97310406583907,603,1,Occassional Buyer Customer
308,C1378,2025-07-30,18,4199.272250153174,233.29290278628747,123,0,Loyal High-Value Customer
309,C1379,2023-07-19,1,21.69175880582939,21.69175880582939,865,1,At-Risk Customer
310,C1380,2024-02-26,4,-460.5569351378704,-115.1392337844676,643,1,At-Risk Customer
